Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
1,5048,271,6760,"Unknown","1 995,02","2 002,76",140 723 772 198 448,"7,73",
1,5048,272,6288,"Unknown","1 995,90","2 004,66",140 723 772 198 448,"8,76",
1,5048,273,500,"Unknown","1 999,06","2 005,82",140 723 772 198 448,"6,76",
1,5048,274,16708,"Unknown","2 000,35","2 007,49",140 723 772 198 448,"7,14",
1,5048,275,14392,"Unknown","2 001,59","2 008,36",140 723 772 198 448,"6,77",
1,5048,276,11888,"Unknown","2 002,35","2 008,47",140 723 772 198 448,"6,12",
1,5048,277,4676,"Unknown","2 002,87","2 008,47",140 723 772 198 448,"5,61",
1,5048,278,17824,"Unknown","2 003,25","2 009,64",140 723 772 198 448,"6,39",
1,5048,279,8348,"Unknown","2 003,66","2 012,13",140 723 772 198 448,"8,48",
1,5048,280,19516,"Unknown","2 005,99","2 013,00",140 723 772 198 448,"7,01",
1,5048,281,14484,"Unknown","2 006,56","2 013,08",140 723 772 198 448,"6,52",
1,5048,282,11160,"Unknown","2 007,46","2 013,95",140 723 772 198 448,"6,48",
1,5048,283,14148,"Unknown","2 007,88","2 013,84",140 723 772 198 448,"5,96",
1,5048,284,5380,"Unknown","2 008,47","2 013,68",140 723 772 198 448,"5,22",
1,5048,285,20080,"Unknown","2 008,88","2 014,80",140 723 772 198 448,"5,92",
1,5048,286,1676,"Unknown","2 009,28","2 014,39",140 723 772 198 448,"5,11",
1,5048,287,904,"Unknown","2 009,82","2 016,24",140 723 772 198 448,"6,42",
1,5048,288,2728,"Unknown","2 062,44","2 067,40",140 723 772 198 448,"4,96",
1,5048,289,17160,"Unknown","2 063,08","2 068,00",140 723 772 198 448,"4,92",
1,5048,290,7716,"Unknown","2 063,86","2 068,86",140 723 772 198 448,"5,00",
1,5048,291,15844,"Unknown","2 064,40","2 070,18",140 723 772 198 448,"5,78",
1,5048,292,4148,"Unknown","2 064,79","2 070,63",140 723 772 198 448,"5,83",
1,5048,293,15860,"Unknown","2 065,19","2 070,90",140 723 772 198 448,"5,71",
1,5048,294,14920,"Unknown","2 065,63","2 071,61",140 723 772 198 448,"5,98",
1,5048,295,8708,"Unknown","2 066,03","2 073,57",140 723 772 198 448,"7,54",
1,5048,296,13320,"Unknown","2 066,43","2 073,56",140 723 772 198 448,"7,13",
1,5048,297,16212,"Unknown","2 067,89","2 073,24",140 723 772 198 448,"5,36",
1,5048,298,9348,"Unknown","2 068,33","2 074,90",140 723 772 198 448,"6,56",
1,5048,299,6640,"Unknown","2 069,05","2 076,40",140 723 772 198 448,"7,35",
1,5048,300,17764,"Unknown","2 070,63","2 076,23",140 723 772 198 448,"5,60",
1,5048,301,8760,"Unknown","2 071,09","2 078,43",140 723 772 198 448,"7,34",
1,5048,302,16440,"Unknown","2 071,47","2 077,58",140 723 772 198 448,"6,11",
1,5048,303,19776,"Unknown","2 071,89","2 079,35",140 723 772 198 448,"7,46",
1,5048,304,13464,"Unknown","2 073,58","2 079,30",140 723 772 198 448,"5,72",
1,5048,305,17292,"Unknown","2 074,02","2 079,79",140 723 772 198 448,"5,76",
1,5048,306,14344,"Unknown","2 074,59","2 080,88",140 723 772 198 448,"6,29",
1,5048,307,1488,"Unknown","2 075,17","2 081,40",140 723 772 198 448,"6,23",
1,5048,308,7148,"Unknown","2 076,53","2 082,72",140 723 772 198 448,"6,19",
1,5048,309,3136,"Unknown","2 076,91","2 082,29",140 723 772 198 448,"5,38",
1,5048,310,2344,"Unknown","2 077,77","2 083,98",140 723 772 198 448,"6,20",
1,5048,311,6260,"Unknown","2 078,61","2 084,57",140 723 772 198 448,"5,96",
1,5048,312,13880,"Unknown","2 130,27","2 134,76",140 723 772 198 448,"4,48",
